time_s,delta_t_s,thrust_N,mass_flow_g_per_s,cumulative_impulse_Ns,remaining_impulse_Ns,propellant_mass_burned_g,propellant_mass_remaining_g,motor_mass_g,motor_mass_kg,burn_fraction
0.000,0.000,0.000,0.000000,0.000000,129.867867,0.000000,83.000000,157.000000,0.157000,0.000000
0.024,0.024,0.370,0.236727,0.004445,129.863422,0.002841,82.997159,156.997159,0.156997,0.000034
0.066,0.042,0.875,0.558967,0.030590,129.837277,0.019550,82.980450,156.980450,0.156980,0.000236
0.138,0.072,4.504,2.878812,0.224234,129.643633,0.143310,82.856690,156.856690,0.156857,0.001727
0.246,0.108,6.621,4.231363,0.824989,129.042878,0.527260,82.472740,156.472740,0.156473,0.006353
0.426,0.180,6.735,4.304477,2.027011,127.840856,1.295485,81.704515,155.704515,0.155705,0.015608
1.218,0.792,7.323,4.680339,7.594098,122.273769,4.853473,78.146527,152.146527,0.152147,0.058476
2.082,0.864,7.423,4.744122,13.964456,115.903411,8.924840,74.075160,148.075160,0.148075,0.107528
3.306,1.224,7.183,4.590735,22.903328,106.964539,14.637772,68.362228,142.362228,0.142362,0.176359
5.322,2.016,6.838,4.370562,37.037000,92.830867,23.670759,59.329241,133.329241,0.133329,0.285190
6.978,1.656,6.719,4.294379,48.262859,81.605008,30.845330,52.154670,126.154670,0.126155,0.371630
8.632,1.654,6.551,4.186945,59.237562,70.630305,37.859386,45.140614,119.140614,0.119141,0.456137
10.144,1.512,6.479,4.140929,69.088545,60.779322,44.155258,38.844742,112.844742,0.112845,0.531991
12.088,1.944,6.425,4.106545,81.631816,48.236051,52.171803,30.828197,104.828197,0.104828,0.628576
15.472,3.384,6.333,4.047683,103.219536,26.648331,65.968755,17.031245,91.031245,0.091031,0.794804
17.632,2.160,6.130,3.918071,116.680440,13.187427,74.571769,8.428231,82.428231,0.082428,0.898455
19.108,1.476,6.038,3.859273,125.661162,4.206705,80.311448,2.688552,76.688552,0.076689,0.967608
19.511,0.403,5.961,3.809550,128.079001,1.788866,81.856716,1.143284,75.143284,0.075143,0.986225
19.804,0.293,4.429,2.830943,129.601165,0.266702,82.829548,0.170452,74.170452,0.074170,0.997946
19.867,0.063,1.669,1.066485,129.793259,0.074608,82.952317,0.047683,74.047683,0.074048,0.999426
19.937,0.070,0.334,0.213527,129.863357,0.004510,82.997117,0.002883,74.002883,0.074003,0.999965
19.964,0.027,0.000,0.000000,129.867867,0.000000,83.000000,0.000000,74.000000,0.074000,1.000000
